Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
Exxon Mobil Corp,XONz.F^G96,Europe,346174.0878,0,Energy,"Oil, Gas & Consumable Fuels",,,,,,,,
JPMorgan Chase & Co,CMBz.F^D96,Europe,310760.7949,0,Financials,Banks,,,,,,,,
Procter & Gamble Co,PG.F^A96,Europe,223356.4645,0,Consumer Staples,Household Products,,,,,,,,
Nestle SA,NESZn.F^G98,Europe,240035.2828,0,Consumer Staples,Food Products,,,,,,,,
Nestle SA,NESZ.BE^K94,Europe,240035.2828,0,Consumer Staples,Food Products,,,,,,,,
Visa Inc,3V61b.BE^B08,Europe,210322.9701,0,Information Technology,IT Services,,,,,,,,
Novartis AG,SANZ.SG^B97,Europe,202360.2732,0,Health Care,Pharmaceuticals,,,,,,,,
Coca-Cola Co,KOz.F^I95,Europe,184360.9325,0,Consumer Staples,Beverages,,,,,,,,
International Business Machines Corp,IBM.F^A96,Europe,150591.9555,0,Information Technology,IT Services,,,,,,,,
Citigroup Inc,TRVb.DE^C04,Europe,163458.8375,0,Financials,Banks,,,,,,,,
Koninklijke Nederlandsche Petroleum NV MIJ,RDak.DE^G05,Europe,NULL,0,NULL,NULL,,,,,,,,
Altria Group Inc,MOz.F^I00,Europe,138946.013,0,Consumer Staples,Tobacco,-19.28415813,-11.45833333,-25.65646143,-16.03553291,-2.728769524,30.84019452,,
Total SA,TOTB.DE^C10,Europe,127601.046,0,Energy,"Oil, Gas & Consumable Fuels",,,,,,,,
Mastercard Inc,MAa.BE^H06,Europe,124839.5652,0,Information Technology,IT Services,,,,,,,,
BP PLC,BPEz.F,Europe,112726.5745,0.012919552,Energy,"Oil, Gas & Consumable Fuels",19.01508668,24.39441239,1.131990753,-18.70053581,7.919635477,6.711669248,7.080036764,-3.05642918
British American Tobacco PLC,BTI.F^J98,Europe,125870.681,0,Consumer Staples,Tobacco,,,,,,,,
SAP SE,SAPG.DE,Europe,122971.966,200.3921437,Information Technology,Software,73.52941176,3.382352941,141.1470588,133.257468,8.231996482,-55.1178451,17.27168514,18.7540307
SAP AG,SAPGe.F^C97,Europe,NULL,0,Information Technology,Software,,,,,,,,
SAP AG,SAPG_p.F^F01,Europe,NULL,2.974148402,Information Technology,Software,89.5465995,5.793450881,156.675063,142.6190476,14.23102791,-55.49586057,,
Siemens AG,SIENe.DE^B14,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGn.DE,Europe,121614.7164,253.4344781,Industrials,Industrial Conglomerates,98.45725019,30.53435114,146.1033971,88.53535102,84.18060688,-25.16129033,31.95574191,27.42906468
Siemens AG,SIEGe.F^B99,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.F^A02,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIECe.SG^B15,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIENGe.DE,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.DE^C06,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEFe.DE^A16,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIENne.DE^A13,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.F^H03,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.DE^D04,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.DE^J05,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Siemens AG,SIEGne.DE^A07,Europe,121614.7164,0,Industrials,Industrial Conglomerates,,,,,,,,
Shell Transport and Trading Company Ltd,SCz.F^G05,Europe,215995.3696,0.017138889,NULL,NULL,6.060606065,6.060606062,7.57575758,1.428571431,35.47001089,25.92986927,,
United Technologies Corp,UTXz.F^G00,Europe,95338.0607,0,Industrials,Aerospace & Defense,11.71909115,2.167530909,0.730328087,-1.406711906,6.224709621,5.454545456,,
Honeywell International Inc,ALD.F^B96,Europe,99973.02578,0,Industrials,Industrial Conglomerates,,,,,,,,
Rhone Poulenc SA,AVEPb.DE^H04,Europe,NULL,0,NULL,NULL,,,,,,,,
Rhone Poulenc SA,AVEPa.DE^J04,Europe,NULL,0,NULL,NULL,,,,,,,,
Rhone Poulenc SA,AVEPc.DE^J04,Europe,NULL,0,NULL,NULL,,,,,,,,
Bayer AG,BAYE.DE^A10,Europe,107622.017,0,Health Care,Pharmaceuticals,,,,,,,,
