Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30
Advanced Micro Devices Inc,AMD.O,United_States,12520.60315,679.5218767,Information Technology,Semiconductors & Semiconductor Equipment,242.0289855,57.24637681,175.3623188,75.11520737,60.14492753,-41.84210526,89.99999999
Eagle Pharmaceuticals Inc,EGRX.O,United_States,1385.864482,19.75551676,Health Care,Biotechnology,,,,,,,23.90917795
Proofpoint Inc,PFPT.O,United_States,3295.274532,76.04746643,Information Technology,Software,,,,,,,-2.180402337
Radius Health Inc,RDUS.O,United_States,1690.264312,28.85459861,Health Care,Biotechnology,,,,,,,-5.353682172
Ligand Pharmaceuticals Inc,LGND.O,United_States,2325.664616,19.13434252,Health Care,Biotechnology,151.0304405,20.32520325,259.7513708,198.9825581,97.99584042,-44.96314496,14.77390047
US Concrete Inc,USCR.O,United_States,985.186758,15.84674073,Materials,Construction Materials,,,,,,,26.91914022
Array Biopharma Inc,ARRY.O,United_States,1465.292814,23.6390885,Health Care,Biotechnology,,,,,2.142857143,2.142857143,43.06930693
Exact Sciences Corp,EXAS.O,United_States,3336.899589,69.43637967,Health Care,Biotechnology,,,,,,,75.49707601
SAGE Therapeutics Inc,SAGE.O,United_States,2650.304827,26.91890063,Health Care,Biotechnology,,,,,,,60.0180302
ANI Pharmaceuticals Inc,ANIP.O,United_States,627.2338063,6.465386681,Health Care,Pharmaceuticals,,,,,,,6.493506492
Aerie Pharmaceuticals Inc,AERI.O,United_States,1481.607346,14.32213228,Health Care,Pharmaceuticals,,,,,,,27.68115942
Alder Biopharmaceuticals Inc,ALDR.O,United_States,1010.729683,11.61347139,Health Care,Biotechnology,,,,,,,-22.88461538
Callidus Software Inc,CALD.O,United_States,1365.361856,7.708853625,Information Technology,Software,,,,,,,34.07643312
Merrimack Pharmaceuticals Inc,MACK.O,United_States,434.7986361,5.963633015,Health Care,Biotechnology,,,,,,,-35.83815029
Intersect ENT Inc,XENT.O,United_States,546.408593,3.93405482,Health Care,Pharmaceuticals,,,,,,,58.33333334
Benefitfocus Inc,BNFT.O,United_States,977.840892,6.597026659,Information Technology,Internet Software & Services,,,,,,,20.68965517
Applied Optoelectronics Inc,AAOI.O,United_States,937.7575581,147.4955329,Information Technology,Communications Equipment,,,,,,,117.0035149
Amicus Therapeutics Inc,FOLD.O,United_States,1096.93079,12.09000863,Health Care,Biotechnology,,,,,,,-2.599873179
Theravance Biopharma Inc,TBPH.O,United_States,2147.782014,9.05291527,Health Care,Pharmaceuticals,,,,,,,54.22562141
MeetMe Inc,MEET.O,United_States,355.3457254,8.637457994,Information Technology,Internet Software & Services,,,,,,,23.65145228
Gravity Co Ltd,GRVY.O,United_States,63.096012,1.178190995,Information Technology,Software,,,,,,,37.78452201
Centennial Resource Development Inc,CDEV.O,United_States,3423.242836,25.08016495,Energy,"Oil, Gas & Consumable Fuels",,,,,,,9.422694092
Supernus Pharmaceuticals Inc,SUPN.O,United_States,1637.445742,14.93690192,Health Care,Pharmaceuticals,,,,,,,72.03166227
Ollie's Bargain Outlet Holdings Inc,OLLI.O,United_States,2339.775572,25.7946334,Consumer Discretionary,Multiline Retail,,,,,,,42.91044777
Heska Corp,HSKA.O,United_States,765.983495,16.17734732,Health Care,Pharmaceuticals,99.99999999,29.03225806,109.6774193,62.49999999,-64.51612903,-83.07692308,77.66289184
Cara Therapeutics Inc,CARA.O,United_States,504.4576531,43.92733729,Health Care,Biotechnology,,,,,,,83.69942197
ZIOPHARM Oncology Inc,ZIOP.O,United_States,932.0091334,9.11703837,Health Care,Biotechnology,,,,,,,22.43478261
Skyline Medical Inc,SKLN.O,United_States,14.14695304,1.026736374,Health Care,Health Care Equipment & Supplies,,,,,,,-31.66144201
Coherus BioSciences Inc,CHRS.O,United_States,984.7301184,7.960615948,Health Care,Biotechnology,,,,,,,-20.49689441
Vanda Pharmaceuticals Inc,VNDA.O,United_States,679.4220108,6.168879822,Health Care,Biotechnology,,,,,,,0.660066005
Retrophin Inc,RTRX.O,United_States,746.253291,5.401953525,Health Care,Biotechnology,,,,,,,7.696536559
Acceleron Pharma Inc,XLRN.O,United_States,1275.030714,10.58846239,Health Care,Biotechnology,,,,,,,17.30017762
Carbonite Inc,CARB.O,United_States,610.2607392,9.909934906,Information Technology,Internet Software & Services,,,,,,,27.43362832
Dynavax Technologies Corp,DVAX.O,United_States,256.7159937,6.68265638,Health Care,Biotechnology,,,,,,,-46.63461538
Cerus Corp,CERS.O,United_States,451.4934818,3.182090204,Health Care,Health Care Equipment & Supplies,103.1578947,22.10526316,182.1052632,131.0344828,216.8421053,12.31343284,-16.34615385
