1377.T, Updated at 2016-08-31
1430.T, Updated at 2016-08-31
2157.T, Updated at 2016-08-31
2168.T, Updated at 2016-08-31
2338.T, Updated at 2016-08-31
2408.T, Updated at 2016-09-20
2668.T, Updated at 2016-08-31
2687.T, Updated at 2016-08-31
2927.T, Updated at 2016-08-31
3063.T, Updated at 2016-08-31
3083.T, Updated at 2016-08-31
3168.T, Updated at 2016-08-31
3186.T, Updated at 2016-08-31
3189.T, Updated at 2016-08-31
3194.T, Updated at 2016-08-31
3244.T, Updated at 2016-08-31
3260.NG, Updated at 2016-08-31
3344.T, Updated at 2016-08-31
3382.T, Updated at 2016-08-31
3396.T, Updated at 2016-08-31
3415.T, Updated at 2016-08-31
3454.T, Updated at 2016-08-31
3678.T, Updated at 2016-08-31
3711.T, Updated at 2016-08-31
3815.T, Updated at 2016-08-31
3826.T, Updated at 2016-08-31
3907.T, Updated at 2016-08-31
4187.T, Updated at 2016-08-31
4735.T, Updated at 2016-08-31
4763.T, Updated at 2016-08-31
4CG.BB, Updated at 2016-06-30
4IC.BB, Updated at 2016-06-30
4PZ.BB, Updated at 2016-06-30
5271.T, Updated at 2016-08-31
5900.T, Updated at 2016-08-31
5982.T, Updated at 2016-08-31
5993.NG, Updated at 2016-08-31
5BA.BB, Updated at 2016-06-30
5BV.BB, Updated at 2016-06-30
5T3.BB, Updated at 2016-06-30
5Y1.BB, Updated at 2016-06-30
6048.T, Updated at 2016-08-31
6093.T, Updated at 2016-08-31
6112.T, Updated at 2016-08-31
6136.T, Updated at 2016-08-31
6264.T, Updated at 2016-08-31
6492.T, Updated at 2016-08-31
6N2.BB, Updated at 2016-06-30
7427.T, Updated at 2016-08-31
7434.T, Updated at 2016-08-31
7447.T, Updated at 2016-08-31
7463.T, Updated at 2016-09-30
7487.T, Updated at 2016-08-31
7515.T, Updated at 2016-08-31
7520.T, Updated at 2016-08-31
7601.T, Updated at 2016-08-31
7603.T, Updated at 2016-08-31
7713.T, Updated at 2016-08-31
7730.T, Updated at 2016-08-31
7818.T, Updated at 2016-08-31
7879.T, Updated at 2016-08-31
7928.T, Updated at 2016-08-31
7975.T, Updated at 2016-08-31
7997.T, Updated at 2016-08-31
8016.T, Updated at 2016-08-31
8125.T, Updated at 2016-08-31
8184.T, Updated at 2016-08-31
8185.T, Updated at 2016-08-31
8233.T, Updated at 2016-08-31
8274.T, Updated at 2016-08-31
8519.T, Updated at 2016-08-31
8931.T, Updated at 2016-08-31
8940.T, Updated at 2016-08-31
9313.T, Updated at 2016-08-31
9381.T, Updated at 2016-08-31
9414.T, Updated at 2016-08-31
9716.T, Updated at 2016-08-31
9720.T, Updated at 2016-08-31
9846.T, Updated at 2016-08-31
9861.T, Updated at 2016-08-31
9903.T, Updated at 2016-08-31
9972.T, Updated at 2016-08-31
9993.T, Updated at 2016-08-31
ADMCAPb.CO, Updated at 2016-06-30
AHR.V, Updated at 2016-06-30
AKRr.AT, Updated at 2016-06-30
ALS30.PA, Updated at 2016-06-30
AMPL.NS, Updated at 2015-03-31
ANTh.V, Updated at 2016-05-31
APH.V, Updated at 2016-08-31
ARGAN.PA, Updated at 2016-09-30
ARTA.JK, Updated at 2016-06-30
ATMP.WA, Updated at 2016-06-30
AYI, Updated at 2016-08-31
BGBOH.BB, Updated at 2016-06-30
BOC.CN, Updated at 2016-06-30
BOY.TO, Updated at 2016-06-30
BSI.V, Updated at 2016-07-31
BTBA.DE, Updated at 2016-06-30
BUMI.JK, Updated at 2015-12-31
BVXV.O, Updated at 2016-06-30
BVXV.TA, Updated at 2016-06-30
CIHL.L, Updated at 2016-03-31
CLED.MI, Updated at 2016-06-30
CLEO.MC, Updated at 2016-06-30
CMTL.O, Updated at 2016-07-31
CSTE.O, Updated at 2016-06-30
CTRS.JK, Updated at 2016-06-30
EBN.V, Updated at 2016-06-30
ELNr.AT, Updated at 2016-06-30
EMMS.O, Updated at 2016-08-31
ENEFI.BU, Updated at 2016-06-30
ERX.V, Updated at 2016-06-30
EWI1.DE, Updated at 2016-06-30
FDM.CD, Updated at 2016-07-31
FPC.V, Updated at 2016-06-30
FPI.PS, Updated at 2016-09-30
GAES.SCT, Updated at 2016-06-30
GDS.TO, Updated at 2016-04-30
GGG.V, Updated at 2016-05-31
GLXr.AT, Updated at 2016-06-30
GRIF.O, Updated at 2016-08-31
GTDh.V, Updated at 2016-06-30
GXIG.DE, Updated at 2016-08-31
IDEr.AT, Updated at 2016-06-30
IMP.PS, Updated at 2016-09-30
IMPB.PS, Updated at 2016-09-30
INDUa.ST, Updated at 2016-09-30
INDUc.ST, Updated at 2016-09-30
INFO.IS, Updated at 2016-06-30
ISCA.O, Updated at 2016-08-31
KER.TO, Updated at 2016-06-30
KLICb.ST, Updated at 2016-07-31
KVT.WA, Updated at 2016-06-30
LANr.AT, Updated at 2016-06-30
LDCP.PA, Updated at 2016-08-31
LKLI.KL, Updated at 2016-07-31
LOND.KL, Updated at 2016-09-30
LUCE.ST, Updated at 2016-06-30
MAYS.O, Updated at 2016-07-31
MCRr.AT, Updated at 2016-06-30
MDBr.AT, Updated at 2016-06-30
MG, Updated at 2016-08-31
MON, Updated at 2016-08-31
MQH.ST, Updated at 2016-08-31
MTL_p, Updated at 2016-06-30
NCQ.TO, Updated at 2016-08-31
NG.TO, Updated at 2016-08-31
NLVGn.DE, Updated at 2016-06-30
NOES.NS, Updated at 2016-06-30
NRE.TO, Updated at 2016-08-31
ODC, Updated at 2016-07-31
PAAC.O, Updated at 2016-06-30
PAACU.O, Updated at 2016-06-30
PEX.WA, Updated at 2016-06-30
PJCa.TO, Updated at 2016-08-27
PKE, Updated at 2016-08-28
PLTE.KL, Updated at 2016-08-31
PRSL.PR, Updated at 2016-06-30
RECN.O, Updated at 2016-08-27
RELL.O, Updated at 2016-08-27
RT, Updated at 2016-08-30
RY8.DE, Updated at 2016-06-30
SKISb.ST, Updated at 2016-08-31
SKLN.TA, Updated at 2016-06-30
SNI.OL, Updated at 2016-08-31
SPSL.MC, Updated at 2016-06-30
STEW.BO, Updated at 2016-06-30
STRP.K, Updated at 2016-07-31
TFO.WA, Updated at 2016-06-30
TH.TO, Updated at 2016-08-31
TQCh.V, Updated at 2016-08-31
U.TO, Updated at 2016-08-31
UEFM.CA, Updated at 2016-06-30
VLGEA.O, Updated at 2016-07-30
VTRr.AT, Updated at 2016-06-30
WMS, Updated at 2016-06-30
YUM, Updated at 2016-09-03
