000521.SZ, Updated at 2016-09-30
000600.SZ, Updated at 2016-09-30
000619.SZ, Updated at 2016-09-30
000716.SZ, Updated at 2016-09-30
000790.SZ, Updated at 2016-09-30
002009.SZ, Updated at 2016-09-30
002230.SZ, Updated at 2016-09-30
002231.SZ, Updated at 2016-09-30
002236.SZ, Updated at 2016-09-30
002261.SZ, Updated at 2016-09-30
002277.SZ, Updated at 2016-09-30
002326.SZ, Updated at 2016-09-30
002327.SZ, Updated at 2016-09-30
002359.SZ, Updated at 2016-09-30
002407.SZ, Updated at 2016-09-30
002443.SZ, Updated at 2016-09-30
002459.SZ, Updated at 2016-09-30
002756.SZ, Updated at 2016-09-30
002800.SZ, Updated at 2016-09-30
004310.KS, Updated at 2016-08-31
025900.KQ, Updated at 2016-09-30
083570.KS, Updated at 2016-08-31
083600.KS, Updated at 2016-08-31
134380.KS, Updated at 2016-09-30
1407.T, Updated at 2016-08-31
1419.T, Updated at 2016-08-31
1434.T, Updated at 2016-08-31
1997.T, Updated at 2016-08-31
200521.SZ, Updated at 2016-09-30
2230.T, Updated at 2016-08-31
2337.T, Updated at 2016-08-31
2354.T, Updated at 2016-09-20
2404.T, Updated at 2016-08-31
2411.T, Updated at 2016-09-30
2449.T, Updated at 2016-08-31
2698.T, Updated at 2016-08-31
2706.T, Updated at 2016-08-31
2736.T, Updated at 2016-08-31
2769.T, Updated at 2016-08-31
2796.T, Updated at 2016-08-31
2884.T, Updated at 2016-08-31
2930.T, Updated at 2016-08-31
300054.SZ, Updated at 2016-09-30
300086.SZ, Updated at 2016-09-30
300127.SZ, Updated at 2016-09-30
300131.SZ, Updated at 2016-09-30
300255.SZ, Updated at 2016-09-30
300343.SZ, Updated at 2016-09-30
300469.SZ, Updated at 2016-09-30
3021.T, Updated at 2016-08-31
3030.T, Updated at 2016-08-31
3046.T, Updated at 2016-08-31
3057.NG, Updated at 2016-08-31
3073.T, Updated at 2016-08-31
3087.T, Updated at 2016-08-31
3174.T, Updated at 2016-08-31
3181.T, Updated at 2016-08-31
3440.FU, Updated at 2016-08-31
3536.T, Updated at 2016-08-31
3606.T, Updated at 2016-08-31
3608.T, Updated at 2016-08-31
3627.T, Updated at 2016-08-31
3791.T, Updated at 2016-08-31
3810.T, Updated at 2016-08-31
3823.T, Updated at 2016-08-31
3915.T, Updated at 2016-08-31
3ZG.BB, Updated at 2016-09-30
4645.T, Updated at 2016-08-31
4764.T, Updated at 2016-07-31
5018.T, Updated at 2016-08-31
5341.T, Updated at 2016-08-31
5817.T, Updated at 2016-08-31
5990.T, Updated at 2016-09-15
600073.SS, Updated at 2016-09-30
600256.SS, Updated at 2016-09-30
600312.SS, Updated at 2016-09-30
600338.SS, Updated at 2016-09-30
600415.SS, Updated at 2016-09-30
600439.SS, Updated at 2016-09-30
600449.SS, Updated at 2016-09-30
600595.SS, Updated at 2016-09-30
600681.SS, Updated at 2016-09-30
600763.SS, Updated at 2016-09-30
600792.SS, Updated at 2016-09-30
600812.SS, Updated at 2016-09-30
600965.SS, Updated at 2016-09-30
600986.SS, Updated at 2016-09-30
601015.SS, Updated at 2016-09-30
601155.SS, Updated at 2016-09-30
601677.SS, Updated at 2016-09-30
601678.SS, Updated at 2016-09-30
6025.NG, Updated at 2016-08-31
603011.SS, Updated at 2016-09-30
603366.SS, Updated at 2016-09-30
603377.SS, Updated at 2016-09-30
603618.SS, Updated at 2016-09-30
603737.SS, Updated at 2016-09-30
6047.T, Updated at 2016-08-31
6058.T, Updated at 2016-08-31
6150.T, Updated at 2016-08-31
6172.T, Updated at 2016-08-31
6183.T, Updated at 2016-08-31
6288.HK, Updated at 2016-08-31
6634.T, Updated at 2016-08-31
