2062.TW, Updated at 2016-09-30
2222.T, Updated at 2016-09-30
2395.TW, Updated at 2016-09-30
2801.T, Updated at 2016-09-30
2816.T, Updated at 2016-09-30
2871.T, Updated at 2016-09-30
2914.T, Updated at 2016-09-30
3079.T, Updated at 2016-09-30
3189.TW, Updated at 2016-09-30
3258.T, Updated at 2016-09-30
3591.T, Updated at 2016-09-30
3632.T, Updated at 2016-09-30
3842.T, Updated at 2016-09-30
3943.FU, Updated at 2016-09-30
3946.T, Updated at 2016-09-30
3968.HK, Updated at 2016-09-30
4004.T, Updated at 2016-09-30
4042.T, Updated at 2016-09-30
4062.T, Updated at 2016-09-30
4208.T, Updated at 2016-09-30
4368.T, Updated at 2016-09-30
4568.T, Updated at 2016-09-30
4736.T, Updated at 2016-09-30
4902.T, Updated at 2016-09-30
4952.T, Updated at 2016-09-30
4967.T, Updated at 2016-09-30
4968.T, Updated at 2016-09-30
4968.TW, Updated at 2016-09-30
5019.T, Updated at 2016-09-30
5201.T, Updated at 2016-09-30
5401.T, Updated at 2016-09-30
5410.T, Updated at 2016-09-30
5758.T, Updated at 2016-09-30
5802.T, Updated at 2016-09-30
6029.T, Updated at 2016-09-30
6265.T, Updated at 2016-09-30
6388.HK, Updated at 2016-10-01
6464.T, Updated at 2016-09-30
6472.T, Updated at 2016-09-30
6503.T, Updated at 2016-09-30
6652.T, Updated at 2016-09-30
6701.T, Updated at 2016-09-30
6753.T, Updated at 2016-09-30
6841.T, Updated at 2016-09-30
6888.T, Updated at 2016-09-30
6908.T, Updated at 2016-09-30
6937.T, Updated at 2016-09-30
6963.T, Updated at 2016-09-30
6988.T, Updated at 2016-09-30
7013.T, Updated at 2016-09-30
7175.T, Updated at 2016-09-30
7214.T, Updated at 2016-09-30
7267.T, Updated at 2016-09-30
7482.T, Updated at 2016-09-30
9201.T, Updated at 2016-09-30
9351.T, Updated at 2016-09-30
9679.T, Updated at 2016-09-30
9733.T, Updated at 2016-09-30
9849.T, Updated at 2016-09-30
ACW, Updated at 2016-09-30
AHC, Updated at 2016-09-30
ANGI.O, Updated at 2016-09-30
APAM.K, Updated at 2016-09-30
ARE, Updated at 2016-09-30
ARE.TO, Updated at 2016-09-30
ARRY.O, Updated at 2016-09-30
ASBB.O, Updated at 2016-09-30
ASJ.LM, Updated at 2016-09-30
ATMA.L, Updated at 2016-09-30
AYR, Updated at 2016-09-30
BFS, Updated at 2016-09-30
BFS_pc, Updated at 2016-09-30
BGFV.O, Updated at 2016-10-02
BIO, Updated at 2016-09-30
BMAOq.L, Updated at 2016-09-30
BRISA.IS, Updated at 2016-09-30
CABK.MC, Updated at 2016-09-30
CACC.O, Updated at 2016-09-30
CAI, Updated at 2016-09-30
CALD.O, Updated at 2016-09-30
CALX.K, Updated at 2016-09-24
CARI.KL, Updated at 2016-08-31
CAVM.O, Updated at 2016-09-30
CBP.CD, Updated at 2016-08-31
CBZ, Updated at 2016-09-30
CCS, Updated at 2016-09-30
CFAO.PA, Updated at 2016-09-30
CGR.PA, Updated at 2016-09-30
CIE, Updated at 2016-09-30
CMI, Updated at 2016-10-02
CNTY.O, Updated at 2016-09-30
COLLADO.MX, Updated at 2016-09-30
CORi.LM, Updated at 2016-09-30
CORT.O, Updated at 2016-09-30
CRT_u.TO, Updated at 2016-09-30
CSAP.JK, Updated at 2016-09-30
CSG.LM, Updated at 2016-09-30
CSU, Updated at 2016-09-30
CTPh.V, Updated at 2016-08-31
CUZ, Updated at 2016-09-30
CYF.V, Updated at 2016-08-31
DENN.O, Updated at 2016-09-28
DGZTE.IS, Updated at 2016-09-30
DHX, Updated at 2016-09-30
DILD.JK, Updated at 2016-09-30
DIN, Updated at 2016-09-30
DISCA.O, Updated at 2016-09-30
DISCB.O, Updated at 2016-09-30
DISCK.O, Updated at 2016-09-30
DPC.CD, Updated at 2016-08-31
DPOY.BO, Updated at 2016-09-30
DRRX.O, Updated at 2016-09-30
DSPG.O, Updated at 2016-09-30
DSV.CO, Updated at 2016-09-30
DU.DU, Updated at 2016-09-30
DX, Updated at 2016-09-30
DXCM.O, Updated at 2016-09-30
EALT3.SA, Updated at 2016-09-30
EALT4.SA, Updated at 2016-09-30
EDGE.O, Updated at 2016-09-30
EGGUB.IS, Updated at 2016-09-30
EGL, Updated at 2016-09-30
EHT.V, Updated at 2016-08-31
EIGI.O, Updated at 2016-09-30
EIX, Updated at 2016-09-30
EKGYO.IS, Updated at 2016-09-30
ELGX.O, Updated at 2016-09-30
EMR, Updated at 2016-09-30
ENBR3.SA, Updated at 2016-09-30
ENC.MC, Updated at 2016-09-30
ENP.LM, Updated at 2016-09-30
ENPH.O, Updated at 2016-09-30
ENPi.LM, Updated at 2016-09-30
ENTRA.OL, Updated at 2016-09-30
EPIr.AT, Updated at 2016-06-30
ERA, Updated at 2016-09-30
ESPI.MI, Updated at 2016-09-30
ETN, Updated at 2016-09-30
ETSY.O, Updated at 2016-09-30
EUAV.BR, Updated at 2016-09-30
EVHC.K, Updated at 2016-09-30
EXTR.O, Updated at 2016-09-30
EYEG.O, Updated at 2016-09-30
FARO.O, Updated at 2016-09-30
FCH, Updated at 2016-09-30
FDP, Updated at 2016-09-30
FET, Updated at 2016-09-30
FIS, Updated at 2016-09-30
FIVN.O, Updated at 2016-09-30
FRHO.SI, Updated at 2016-09-30
FRPT.O, Updated at 2016-09-30
FSS, Updated at 2016-09-30
GEOM.NS, Updated at 2016-09-30
GGP, Updated at 2016-09-30
GGRM.JK, Updated at 2016-09-30
GILD.O, Updated at 2016-09-30
GILD34.SA, Updated at 2016-09-30
GK.O, Updated at 2016-10-01
GLT, Updated at 2016-09-30
GOZDE.IS, Updated at 2016-09-30
GPAC.O, Updated at 2016-09-30
GPACU.O, Updated at 2016-09-30
GPX, Updated at 2016-09-30
GRA.LM, Updated at 2016-09-30
GRAN.NS, Updated at 2016-09-30
GSB, Updated at 2016-09-30
