ric,adv,market cap
000001.SZ,61.91367068,23216.60187
000002.SZ,355.4162119,38904.35507
000004.SZ,17.70917084,491.2126475
000005.SZ,14.95586882,1151.889868
000006.SZ,80.49447378,1954.754767
000007.SZ,26.48020167,889.5464813
000008.SZ,24.80234281,4098.808525
000009.SZ,52.22042869,3318.19134
000010.SZ,21.08176759,941.7225577
000011.SZ,60.33438411,1445.196403
000012.SZ,22.17638467,2883.611271
000014.SZ,17.39135156,653.1275758
000016.SZ,10.46251892,1462.456887
000017.SZ,15.87157415,672.9628286
000018.SZ,22.26674762,2135.63946
000019.SZ,81.72396071,1072.982582
000020.KS,0.634397578,194.4270641
000020.SZ,9.842322669,692.2596037
000021.SZ,22.86826718,2312.570933
000022.SZ,6.517209824,1441.507579
000023.SZ,13.78847182,631.7982706
000025.SZ,67.2200912,2680.848875
000026.SZ,25.96227442,814.1232354
000027.SZ,8.428275656,3969.22661
000028.SZ,12.45945946,3590.714556
000029.SZ,0,1557.10236
000030.KS,17.85269249,7341.35257
000030.SZ,12.65511724,1711.413857
000032.SZ,8.947202274,948.8717029
000033.SZ,0,657.7056523
000034.SZ,24.81766829,2993.607436
000035.SZ,31.21663523,1366.049619
000036.SZ,21.58113494,1536.840091
000037.SZ,0,805.1624162
000038.SZ,15.40864445,2552.932755
000039.SZ,12.84947289,4675.965005
000040.KS,0.56233575,146.1075268
000040.SZ,3.819888096,2567.126617
000042.SZ,4.399078235,1984.131623
000043.SZ,20.66090277,1018.847265
000045.SZ,0,946.2208153
000046.SZ,8.091043275,7907.045337
000048.SZ,3.494529845,2001.120032
000049.SZ,48.84780742,1345.513291
000050.KS,1.576419043,457.9534551
000050.SZ,0,3888.096015
000055.SZ,26.94514014,1362.537231
000056.SZ,3.144975581,1829.132801
000058.SZ,33.41011743,1121.465563
000059.SZ,29.64765407,2094.258206
000060.KS,2.181765559,1554.381678
000060.SZ,42.34062529,3517.027554
000061.SZ,11.86423816,3102.722721
000062.SZ,19.51840152,2772.781713
000063.SZ,61.32605391,8811.878988
000065.SZ,17.55544361,1538.357429
000066.SZ,20.64389703,2289.293013
000068.SZ,9.186433394,1413.101393
000069.SZ,20.99816892,8409.072065
000070.KS,1.313551791,947.0533679
000070.SZ,27.80607306,1365.504121
000078.SZ,18.56202586,2679.850424
000080.KS,4.985505862,1339.851866
000088.SZ,7.764863352,2079.118241
000089.SZ,7.330740179,2633.805043
000090.SZ,29.24420378,1796.17495
000096.SZ,10.56787474,1074.389183
000099.SZ,11.43620659,1134.052939
000100.KS,8.712684975,2113.673023
000100.SZ,0,6159.157693
000120.KS,4.780830276,4089.232205
000140.KS,0.250054175,242.3315548
000150.KS,6.113369051,2223.976414
000150.SZ,23.01814066,2077.285338
000151.SZ,18.61366639,813.9351804
000153.SZ,10.60855983,540.3409133
000155.SZ,0,711.7327003
000156.SZ,22.70328228,4049.458477
000157.SZ,29.74300067,4663.095348
000158.SZ,15.14564613,2328.449711
000159.SZ,15.31632375,575.360839
000166.SZ,33.14934061,19134.20118
000180.KS,3.218617106,186.7895535
0002.HK,26.11653908,25378.5299
000210.KS,11.44990837,2634.136129
000220.KS,0.347838706,63.60075392
000230.KS,1.443402063,175.7804405
000240.KS,2.339569062,1772.917874
000250.KQ,1.011739263,181.5135475
000270.KS,27.14443683,14550.38052
000300.KS,0.374827418,83.01582163
000301.SZ,7.672480485,828.0968477
000320.KS,0.114144737,194.0836333
000333.SZ,76.25558035,25351.48569
000338.SZ,32.70894491,5736.987883
000370.KS,1.50866034,603.9182504
000390.KS,0.284272278,230.3477416
0004.HK,27.71447297,22636.08024
000400.KS,0.813223798,322.1098909
000400.SZ,34.71454788,2512.678088
000401.SZ,17.87668769,2129.999799
000402.SZ,40.96874087,4905.231552
000403.SZ,11.83041323,1336.381422
000404.SZ,16.29478178,952.2494312
000407.SZ,8.388233139,830.5256342
000408.SZ,5.014064218,5139.405794
000409.SZ,83.05234669,1141.015346
000410.SZ,29.86589328,1653.540815
000411.SZ,7.323555293,701.094496
000413.SZ,291.8625434,9618.770185
000415.SZ,0,6547.554934
